City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,42.46,70,40,19.57,AR,1728172138
1,edinburgh of the seven seas,-37.0676,-12.3116,54.01,89,100,23.22,SH,1728172139
2,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,43,0,2.24,RU,1728172030
3,san antonio oeste,-40.7319,-64.9477,57.69,45,28,11.79,AR,1728172145
4,nagqu,31.5,92.0,35.71,82,82,1.5,CN,1728172147
5,ust-nera,64.5667,143.2,26.06,91,94,3.85,RU,1728172149
6,aykhal,66.0,111.5,26.74,97,100,5.23,RU,1728172151
7,port-aux-francais,-49.35,70.2167,32.45,88,99,25.28,TF,1728172152
8,grytviken,-54.2811,-36.5092,26.56,85,19,12.03,GS,1728172155
9,puerto natales,-51.7236,-72.4875,39.67,89,100,5.1,CL,1728172157
10,bredasdorp,-34.5322,20.0403,61.12,94,74,5.17,ZA,1728172158
11,benghazi,32.1167,20.0667,80.83,49,58,6.64,LY,1728172160
12,blackmans bay,-43.0167,147.3167,55.72,67,97,3.0,AU,1728172162
13,aasiaat,68.7098,-52.8699,29.75,82,0,7.11,GL,1728172167
14,ilulissat,69.2167,-51.1,32.02,80,2,0.0,GL,1728172168
15,olonkinbyen,70.9221,-8.7187,30.22,67,90,10.25,SJ,1728172170
16,radenci,46.642,16.0378,53.22,93,100,1.36,SI,1728172171
17,san antonio de pale,-1.4014,5.6325,77.58,80,96,12.28,GQ,1728172172
18,port mathurin,-19.6833,63.4167,72.86,88,97,25.17,MU,1728172175
19,san luis de la loma,17.2706,-100.8939,77.58,87,100,4.65,MX,1728172176
20,west island,-12.1568,96.8225,78.78,83,97,9.22,CC,1728172177
21,harper,4.375,-7.7169,75.78,92,93,7.74,LR,1728172179
22,chonchi,-42.6128,-73.8092,49.12,92,7,1.83,CL,1728172180
23,ciudad bolivar,8.1222,-63.5497,76.64,83,99,3.36,VE,1728172181
24,adamstown,-25.066,-130.1015,68.16,87,96,8.52,PN,1728172183
25,piat,17.7905,121.478,79.72,86,45,0.38,PH,1728172184
26,bilibino,68.0546,166.4372,22.06,95,99,4.97,RU,1728172186
27,waingapu,-9.6567,120.2641,82.58,67,98,12.33,ID,1728172187
28,roma,43.2128,-75.4557,57.34,73,75,3.44,US,1728172191
29,walvis bay,-22.9575,14.5053,58.95,85,2,8.23,NA,1728172192
30,margaret river,-33.95,115.0667,61.12,66,97,7.83,AU,1728172034
31,jilib,0.4883,42.7854,75.33,82,82,9.13,SO,1728172199
32,iqaluit,63.7506,-68.5145,37.13,81,75,9.22,CA,1728172200
33,smidovich,48.6,133.8167,50.61,43,92,14.81,RU,1728172202
34,midvagur,62.0511,-7.1939,47.23,76,100,13.8,FO,1728172203
35,yukhnov,54.7444,35.2297,49.46,81,100,5.48,RU,1728172206
36,kapuskasing,49.4169,-82.4331,57.2,54,75,10.36,CA,1728172207
37,bethel,41.3712,-73.414,61.9,69,0,1.01,US,1728172209
38,kingston,17.997,-76.7936,83.35,89,40,8.05,JM,1728172211
39,ancud,-41.8697,-73.8203,46.6,85,0,3.56,CL,1728172212
40,geraldton,-28.7667,114.6,57.61,100,62,9.22,AU,1728172213
41,tshabong,-26.05,22.45,61.18,22,98,9.17,BW,1728172215
42,genhe,50.7833,121.5167,36.03,74,8,2.93,CN,1728172218
43,katsuren-haebaru,26.3369,127.8719,85.08,82,0,0.0,JP,1728172220
44,tiksi,71.6872,128.8694,17.78,82,100,6.73,RU,1728172225
45,longyearbyen,78.2186,15.6401,19.24,86,40,8.05,SJ,1728172228
46,wailua homesteads,22.0669,-159.378,84.13,62,0,11.5,US,1728172229
47,monrovia,6.3005,-10.7969,77.4,86,93,5.41,LR,1728172235
48,papatowai,-46.5619,169.4708,57.31,61,32,5.91,NZ,1728172237
49,darnah,32.767,22.6367,78.44,48,63,9.48,LY,1728172239
50,fort bragg,35.139,-79.006,76.91,78,0,4.61,US,1728172241
51,kristiansund,63.1115,7.732,48.13,93,100,3.44,NO,1728172242
52,murzuq,25.9155,13.9184,82.09,17,63,2.84,LY,1728172244
53,hawaiian paradise park,19.5933,-154.9731,80.87,74,100,5.75,US,1728172247
54,codrington,-38.2667,141.9667,59.07,62,27,20.36,AU,1728172249
55,shalqar,47.8333,59.6,55.26,22,39,4.0,KZ,1728172251
56,lorengau,-2.0226,147.2712,80.28,83,100,8.7,PG,1728172253
57,san patricio,28.017,-97.5169,85.95,68,55,11.54,US,1728172254
58,luderitz,-26.6481,15.1594,74.39,41,39,6.35,NA,1728172255
59,jamestown,42.097,-79.2353,56.84,62,0,9.22,US,1728172221
60,kone,-21.0595,164.8658,85.44,45,6,2.71,NC,1728172260
61,new norfolk,-42.7826,147.0587,56.91,73,99,6.58,AU,1728172263
62,kindu,-2.95,25.95,72.32,71,93,1.63,CD,1728172264
63,iskateley,67.6803,53.1512,35.96,95,100,9.04,RU,1728172265
64,college,64.8569,-147.8028,51.78,43,75,0.0,US,1728172268
65,arroyo,41.6096,-4.7969,65.14,78,20,20.71,ES,1728172271
66,nova sintra,14.8667,-24.7167,81.46,77,100,6.24,CV,1728172272
67,punta arenas,-53.15,-70.9167,44.71,70,0,26.46,CL,1728172273
68,oltinko'l,40.8011,72.1634,68.65,51,99,1.21,UZ,1728172276
69,tolanaro,-25.0319,46.9987,66.27,82,40,2.3,MG,1728172277
70,bull savanna,17.8868,-77.5902,80.02,74,26,0.78,JM,1728172282
71,isafjordur,66.0755,-23.124,29.07,83,9,6.49,IS,1728172284
72,ialibu,-6.2821,143.9935,64.65,88,97,3.2,PG,1728172286
73,east london,-33.0153,27.9116,71.87,36,0,5.99,ZA,1728172287
74,anna regina,7.2644,-58.5077,80.56,85,99,5.12,GY,1728172289
75,stephenville,32.2207,-98.2023,82.53,42,0,0.0,US,1728172291
76,garden city,42.3256,-83.331,64.35,59,20,5.75,US,1728172292
77,cidreira,-30.1811,-50.2056,65.19,83,12,13.91,BR,1728172298
78,newbury,51.4003,-1.3206,54.36,87,97,1.01,GB,1728172299
79,port elizabeth,-33.918,25.5701,73.69,35,0,9.22,ZA,1728172300
80,waitangi,-43.9535,-176.5597,54.82,98,89,5.99,NZ,1728172301
